artists,duration_ms,explicit,id,key,modified_query,name,num_weeks,popularity,release_date,search_query,uri
,214800.0,False,,Blake Shelton,,Every Time I Hear That Song,11,,2016-05-20,blake shelton every time i hear that song,spotify:track:0c4ICGb0jvszKj3KPR59JU
,219600.0,False,,Blake Shelton,,I Lived It,18,,2017-11-03,blake shelton i lived it,spotify:track:5slddJ629YcePvqD6Uyk8r
,183640.0,False,,Blake Shelton,,I'll Name the Dogs,19,,2017-11-03,blake shelton i'll name the dogs,spotify:track:609qKv3KPAbdtp0LQH2buA
,181263.0,True,,"BlocBoy JB, Drake",,Look Alive (feat. Drake),21,,2018-02-09,blocboy jb look alive,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL
,131733.0,False,,Bobby Helms,,Jingle Bell Rock,1,,1998-01-01,bobby helms jingle bell rock,spotify:track:6xE98wKYt4vZk8j7cctjw8
,229338.0,False,,Brad Paisley,,Today,7,,2017-04-21,brad paisley today,spotify:track:1IO13V09b01gLSbmZJZ9dM
,187760.0,False,,Brantley Gilbert,,The Weekend,16,,2017-01-27,brantley gilbert the weekend,spotify:track:48tAdjG4ng2JfECa7OQujk
,126266.0,False,,Brenda Lee,,Rockin' Around The Christmas Tree,3,,1964-10-19,brenda lee rockin' around the christmas tree,spotify:track:2EjXfH91m7f8HiJN1yQg97
,208720.0,False,,Brett Eldredge,,The Long Way,12,,2017-08-04,brett eldredge the long way,spotify:track:5vuMtXS5kQ7F0o9V9rG1dG
,224853.0,False,,Brett Young,,In Case You Didn't Know,28,,2017-02-10,brett young in case you didn't know,spotify:track:10M2Ex445zw585Ducldzkw
,207186.0,False,,Brett Young,,Like I Loved You,19,,2017-02-10,brett young like i loved you,spotify:track:3T6MAweakkNrMYs8jZIWtg
,217120.0,False,,Brett Young,,Mercy,9,,2017-02-10,brett young mercy,spotify:track:2VIPU72L6tIR4w8J8ap6Kp
,216800.0,False,,Brothers Osborne,,It Ain't My Fault,16,,2016-01-15,brothers osborne it ain't my fault,spotify:track:08wJ1B9yu9sPeoRa5fbpr3
,206693.0,False,,Bruno Mars,,That's What I Like,25,,2016-11-17,bruno mars 24k magic,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
,217288.0,False,,"Bruno Mars, Cardi B",,Finesse - Remix; feat. Cardi B,23,,2017-12-20,bruno mars finesse,spotify:track:3Vo4wInECJQuz9BIBMOu8i
,206693.0,False,,Bruno Mars,,That's What I Like,49,,2016-11-17,bruno mars that's what i like,spotify:track:0KKkJNfGyhkQ5aFogxQAPU
,261240.0,False,,Bruno Mars,,Versace on the Floor,12,,2016-11-17,bruno mars versace on the floor,spotify:track:0kN8xEmgMW9mh7UmDYHlJP
,209040.0,True,,Bryson Tiller,,Don't Get Too High,1,,2017-05-26,bryson tiller don't get too high,spotify:track:0OVhQZkNe7lh0fQeH96EFW
,134746.0,True,,Bryson Tiller,,No Longer Friends,1,,2017-05-26,bryson tiller no longer friends,spotify:track:4IdAIZRVkwuQQnHpi529cn
