Artist,Song,num_weeks
Queen Naija,Medicine,5
Rae Sremmurd,Black Beatles,7
Rae Sremmurd,Close,1
Rae Sremmurd,Perplexing Pegasus,3
Rae Sremmurd,Powerglide,17
Rae Sremmurd,Swang,20
Rag'n'Bone Man,Human,7
Rascal Flatts,Yours If You Want It,10
Red Marlow,I Pray,1
Reik,Me Niego,3
RiceGum,Its Every Night Sis,1
Rich The Kid,New Freezer,19
Rich The Kid,Plug Walk,20
Rick Ross,Trap Trap Trap,1
Rihanna,Love On The Brain,16
Rihanna,Sex With Me,2
Romeo Santos,Bella y Sensual,1
Romeo Santos,Heroe Favorito,1
Romeo Santos,Imitadora,1
Russ,Losin Control,19
Russell Dickerson,Yours,19
SOB X RBE,Paramedic!,4
SZA,Broken Clocks,4
SZA,Love Galore,20
SZA,The Weekend,24
Sage The Gemini,Now & Later,1
Sam Hunt,Body Like A Back Road,41
Sam Hunt,Downtown's Dead,2
Sam Smith,Pray,2
Sam Smith,Too Good At Goodbyes,23
"ScHoolboy Q, 2 Chainz",X,5
Scotty McCreery,Five More Minutes,19
Selena Gomez,Back To You,8
Selena Gomez,Bad Liar,14
Selena Gomez,Fetish,12
Selena Gomez X Marshmello,Wolves,22
Shakira,Chantaje,7
Shakira,Me Enamore,2
Shakira,Perro Fiel,1
Shawn Mendes,In My Blood,16
Shawn Mendes,Lost In Japan,1
Shawn Mendes,Mercy,13
Shawn Mendes,There's Nothing Holdin' Me Back,34
Shawn Mendes,Treat You Better,5
Shawn Mendes,Youth,2
Sia,Cheap Thrills,2
Sia,Helium,1
Sia,The Greatest,2
Sofi Tukker,Best Friend,5
"Sofia Carson, Cameron Boyce, Booboo Stewart",Chillin' Like A Villain,1
Starley,Call On Me,14
Sugarland,Babe,2
Swae Lee,Guatemala,1
Tank,When We,20
Tay-K,The Race,19
Taylor Swift,...Ready For It?,19
Taylor Swift,Call It What You Want,2
Taylor Swift,Delicate,17
Taylor Swift,End Game,13
Taylor Swift,Gorgeous,4
Taylor Swift,Look What You Made Me Do,19
Tee Grizzley,First Day Out,20
The Carters,Apes**t,3
The Carters,Boss,2
The Carters,Friends,1
The Carters,Nice,1
The Carters,Summer,1
The Chainsmokers,Closer,26
The Chainsmokers,Don't Let Me Down,2
The Chainsmokers,Everybody Hates Me,1
The Chainsmokers,Honest,4
The Chainsmokers,Paris,18
The Chainsmokers,Sick Boy,3
The Chainsmokers,Something Just Like This,39
The Chainsmokers,The One,2
The Revivalists,Wish I Knew You,9
The Weeknd,Call Out My Name,14
The Weeknd,Hurt You,1
The Weeknd,I Feel It Coming,16
The Weeknd,I Was Never There,1
The Weeknd,Party Monster,9
The Weeknd,Pray For Me,20
The Weeknd,Privilege,1
The Weeknd,Reminder,13
The Weeknd,Starboy,11
The Weeknd,Try Me,2
The Weeknd,Wasted Times,3
Thomas Rhett,Craving You,20
Thomas Rhett,Life Changes,2
Thomas Rhett,Marry Me,19
Thomas Rhett,Star Of The Show,6
Thomas Rhett,Unforgettable,20
Tim McGraw,Speak To A Girl,2
Tim McGraw,The Rest Of Our Life,1
Train,Play That Song,11
Travis Scott,Butterfly Effect,22
Travis Scott,Goosebumps,22
Travis Scott,Watch,5
Trey Songz,Nobody Else But You,3
Trippie Redd,Dark Knight Dummo,7
Troye Sivan,My My My!,1
Tyga,Taste,6
"Tyler, The Creator",OKRA,1
"Tyler, The Creator",Who Dat Boy,1
WALK THE MOON,One Foot,8
Walker Hayes,You Broke Up With Me,18
Weezer,Africa,1
Wham!,Last Christmas,2
Wisin,Escapate Conmigo,20
Wiz Khalifa,Something New,1
XXXTENTACION,Carry On,1
XXXTENTACION,Changes,12
XXXTENTACION,Depression & Obsession,1
XXXTENTACION,Everybody Dies In Their Nightmares,7
XXXTENTACION,F**k Love,20
XXXTENTACION,Going Down!,1
XXXTENTACION,Hope,2
XXXTENTACION,Infinity (888),1
XXXTENTACION,Jocelyn Flores,19
XXXTENTACION,Look At Me!,20
XXXTENTACION,Moonlight,12
XXXTENTACION,Numb,3
XXXTENTACION,Revenge,2
XXXTENTACION,Sad!,18
XXXTENTACION,Save Me,1
XXXTENTACION,The Remedy For A Broke Heart (Why Am I So In Love),5
YBN Nahmir,Rubbin Off The Paint,16
YFN Lucci,Everyday We Lit,20
YG,Big Bank,5
Yo Gotti,Juice,5
Yo Gotti,Rake It Up,22
Young Thug,Anybody,1
Young Thug,Relationship,14
YoungBoy Never Broke Again,Diamond Teeth Samurai,5
YoungBoy Never Broke Again,No Smoke,17
YoungBoy Never Broke Again,Outside Today,19
YoungBoy Never Broke Again,Overdose,9
YoungBoy Never Broke Again,Preach,1
YoungBoy Never Broke Again,Untouchable,2
Zac Brown Band,My Old Man,4
Zac Efron,Rewrite The Stars,7
Zay Hilfigerrr,Juju On That Beat (TZ Anthem),3
Zayn,Dusk Till Dawn,16
Zayn,Let Me,1
Zayn,Still Got Time,3
Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),16
Zedd,Get Low,1
Zedd,Stay,31
"Zedd, Maren Morris",The Middle,23
twenty one pilots,Heathens,7
